,0
0,2.2200769362819357e-08
1,362.5968550522681
2,376.48449837418303
3,387.0159258685523
4,393.33289956379446
5,396.78749897376525
6,398.5468181116129
7,399.3837846061697
8,399.75448804638364
9,399.9061732059152
10,400.0
11,381.526395115953
12,381.0045609640607
13,387.9461134071327
14,393.64456090986715
15,396.91883350627313
16,398.5848654339365
17,399.3777469727298
18,399.73558021809674
19,399.888928975215
20,399.9511394084248
21,400.0
22,444.98583137587224
23,427.63157758285297
24,415.9309005385142
25,408.64585615446384
26,404.39916688411586
27,402.0853675109091
28,400.91188213951324
29,400.3601174415606
30,400.1213423103661
31,400.0277211874073
32,400.0
33,495.9770304010028
34,455.6109063037066
35,429.0163965981336
36,413.98976780132324
37,406.3598837964222
38,402.74663005889556
39,401.1209807203781
40,400.4238367695146
41,400.1409585113464
42,400.03415280300374
43,400.0
44,490.5999595032493
45,415.4917265626355
46,397.6509149608194
47,396.43922075833467
48,397.7842878072172
49,398.8789170554441
50,399.4897432906742
51,399.7838747930132
52,399.9117527093688
53,399.96204562462225
54,400.0
55,5.983932721434231e-10
56,274.8624295186843
57,349.29223536306847
58,378.14236088758196
59,390.50894712840716
60,395.9570617217833
61,398.33958034921403
62,399.35135552575093
63,399.76071922194245
64,399.91508963122965
65,400.0
66,490.59953114769814
67,415.491467717609
68,397.6507851413289
69,396.43914996170514
70,397.78424020038415
71,398.87887809974467
72,399.4897084090093
73,399.7838437892136
74,399.9117271388755
75,399.9620276705155
76,400.0
77,495.97694072881706
78,455.6108317235065
79,429.0163468616713
80,413.989736804528
81,406.35986225942463
82,402.7466120751386
83,401.12096404743403
84,400.4238213360925
85,400.14094520226405
86,400.0341429122305
87,400.0
88,444.98595514639754
89,427.631672909896
90,415.93096695509763
91,408.64590387185245
92,404.3992055470014
93,402.0854020378423
94,400.9119135507425
95,400.36014467092303
96,400.1213635355414
97,400.0277346113648
98,400.0
99,381.52675480902707
100,381.0048149561746
101,387.9462575665172
102,393.6446487804715
103,396.9188978075676
104,398.58491983087686
105,399.3777951370145
106,399.7356212439558
107,399.8889602404061
108,399.95115818849627
109,400.0
110,2.2200769362819357e-08
111,362.5968550522681
112,376.48449837418303
113,387.0159258685523
114,393.33289956379446
115,396.78749897376525
116,398.5468181116129
117,399.3837846061697
118,399.75448804638364
119,399.9061732059152
120,400.0
